Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
China,CHN,2021,11472369171,7955.985419,1713.339980,773.866062,852.961348,4.677478,171.538883,8.045741
China,CHN,2020,10956213369,7605.716883,1627.725238,687.880944,858.232613,5.118808,171.538883,7.688950
China,CHN,2019,10740996069,7543.157408,1559.728160,630.171360,826.876048,3.806248,177.256846,7.554165
China,CHN,2018,10353876989,7316.399776,1500.473952,575.368912,786.744610,3.350856,171.538883,7.306542
China,CHN,2017,10011107108,7163.317856,1430.586816,486.359360,758.185168,2.924697,169.733211,7.098687
China,CHN,2014,9998621253,7425.066688,1255.605168,370.221552,778.627084,3.877594,165.223167,7.218233
China,CHN,2013,9956308273,7493.454393,1234.621903,320.127464,748.323128,3.564518,156.216868,7.235162
China,CHN,2015,9866904318,7266.978828,1328.805063,380.052208,721.994964,3.854226,165.219030,7.079569
China,CHN,2012,9779281618,7464.806432,1176.711920,277.599296,714.781655,3.659815,141.722500,7.156126
China,CHN,2016,9764979745,7071.403711,1357.837577,421.726239,743.044097,3.040580,167.927541,6.965584
China,CHN,2011,9528555734,7309.786256,1123.858720,245.989968,708.564290,0,140.356500,7.021286
China,CHN,2010,8616652695,6568.793552,1092.571824,199.585408,639.591911,0,116.110000,6.391268
China,CHN,2009,7886532768,6028.500112,982.347712,164.403680,583.560264,0,127.721000,5.889315
China,CHN,2008,7496832207,5729.473744,970.117280,149.674400,525.924483,0,121.642300,5.636008
China,CHN,2007,6978611952,5289.903664,927.351072,129.515072,514.980844,0,116.861300,5.280773
China,CHN,2006,6488803816,4905.374192,898.533712,103.753488,470.086624,0,111.055800,4.941642
China,CHN,2005,5876555340,4424.389920,850.172576,84.957168,411.648776,0,105.386900,4.503496
China,CHN,2004,5223754656,3835.288336,839.092640,71.521280,379.992160,0,97.860240,4.028136
China,CHN,2003,4827445998,3601.712000,727.098816,60.745456,345.186136,0,92.703590,3.745477
China,CHN,2002,4112459057,3018.634032,653.086016,53.992704,296.590305,0,90.156000,3.210536
