Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
Austria,AUT,1820,333424,0.333424,0,0,0,0,0,0.098968
France,FRA,1820,2901888,2.901888,0,0,0,0,0,0.092860
Germany,DEU,1820,3381872,3.381872,0,0,0,0,0,0.135791
United Kingdom,GBR,1820,42528048,42.528048,0,0,0,0,0,2.002356
USA,USA,1820,791424,0.791424,0,0,0,0,0,0.079297
Austria,AUT,1821,359072,0.359072,0,0,0,0,0,0.106046
France,FRA,1821,3011808,3.011808,0,0,0,0,0,0.095735
Germany,DEU,1821,3532096,3.532096,0,0,0,0,0,0.139830
United Kingdom,GBR,1821,42872464,42.872464,0,0,0,0,0,1.989349
USA,USA,1821,828064,0.828064,0,0,0,0,0,0.080403
Austria,AUT,1822,366400,0.366400,0,0,0,0,0,0.107701
France,FRA,1822,3169360,3.169360,0,0,0,0,0,0.100027
Germany,DEU,1822,3631024,3.631024,0,0,0,0,0,0.141726
United Kingdom,GBR,1822,44521264,44.521264,0,0,0,0,0,2.039266
Austria,AUT,1823,348080,0.348080,0,0,0,0,0,0.101808
France,FRA,1823,3169360,3.169360,0,0,0,0,0,0.099337
Germany,DEU,1823,4034064,4.034064,0,0,0,0,0,0.155342
United Kingdom,GBR,1823,46873552,46.873552,0,0,0,0,0,2.119345
USA,USA,1823,901344,0.901344,0,0,0,0,0,0.082306
Austria,AUT,1824,399376,0.399376,0,0,0,0,0,0.116233
France,FRA,1824,3517440,3.517440,0,0,0,0,0,0.109485
Germany,DEU,1824,3231648,3.231648,0,0,0,0,0,0.122844
United Kingdom,GBR,1824,49082944,49.082944,0,0,0,0,0,2.190518
USA,USA,1824,1014928,1.014928,0,0,0,0,0,0.090002
Austria,AUT,1825,403040,0.403040,0,0,0,0,0,0.116756
France,FRA,1825,3957120,3.957120,0,0,0,0,0,0.122322
Germany,DEU,1825,4338176,4.338176,0,0,0,0,0,0.162783
United Kingdom,GBR,1825,49592240,49.592240,0,0,0,0,0,2.184873
USA,USA,1825,1135840,1.135840,0,0,0,0,0,0.097897
Austria,AUT,1826,458000,0.458000,0,0,0,0,0,0.132027
France,FRA,1826,4089024,4.089024,0,0,0,0,0,0.125669
Germany,DEU,1826,4187952,4.187952,0,0,0,0,0,0.155316
United Kingdom,GBR,1826,50145504,50.145504,0,0,0,0,0,2.180619
USA,USA,1826,1315376,1.315376,0,0,0,0,0,0.110276
Austria,AUT,1827,476320,0.476320,0,0,0,0,0,0.136638
France,FRA,1827,5910032,5.910032,0,0,0,0,0,0.180586
Germany,DEU,1827,4539696,4.539696,0,0,0,0,0,0.166600
United Kingdom,GBR,1827,52230320,52.230320,0,0,0,0,0,2.244052
USA,USA,1827,1447280,1.447280,0,0,0,0,0,0.118137
Austria,AUT,1828,458000,0.458000,0,0,0,0,0,0.130708
France,FRA,1828,6243456,6.243456,0,0,0,0,0,0.189673
Germany,DEU,1828,4539696,4.539696,0,0,0,0,0,0.164840
United Kingdom,GBR,1828,52589392,52.589392,0,0,0,0,0,2.232147
USA,USA,1828,1593840,1.593840,0,0,0,0,0,0.126690
Austria,AUT,1829,476320,0.476320,0,0,0,0,0,0.135280
France,FRA,1829,6074912,6.074912,0,0,0,0,0,0.183488
Germany,DEU,1829,3631024,3.631024,0,0,0,0,0,0.130579
Norway,NOR,1829,10992,0.010992,0,0,0,0,0,0.009917
United Kingdom,GBR,1829,53336848,53.336848,0,0,0,0,0,2.236627
Austria,AUT,1830,494640,0.494640,0,0,0,0,0,0.139808
Belgium,BEL,1830,6195824,6.195824,0,0,0,0,0,1.652220
France,FRA,1830,6551232,6.551232,0,0,0,0,0,0.196734
Germany,DEU,1830,4792512,4.792512,0,0,0,0,0,0.170887
Norway,NOR,1830,7328,0.007328,0,0,0,0,0,0.006521
Spain,ESP,1830,3664,0.003664,0,0,0,0,0,0.000281
United Kingdom,GBR,1830,67864608,67.864608,0,0,0,0,0,2.811409
USA,USA,1830,2088480,2.088480,0,0,0,0,0,0.157736
Austria,AUT,1831,479984,0.479984,0,0,0,0,0,0.135017
Belgium,BEL,1831,4462752,4.462752,0,0,0,0,0,1.179998
France,FRA,1831,6052928,6.052928,0,0,0,0,0,0.181014
Germany,DEU,1831,4590992,4.590992,0,0,0,0,0,0.162323
Norway,NOR,1831,3664,0.003664,0,0,0,0,0,0.003221
Spain,ESP,1831,3664,0.003664,0,0,0,0,0,0.000279
United Kingdom,GBR,1831,65765136,65.765136,0,0,0,0,0,2.691652
USA,USA,1831,2264352,2.264352,0,0,0,0,0,0.165782
Austria,AUT,1832,512960,0.512960,0,0,0,0,0,0.143566
Belgium,BEL,1832,4715568,4.715568,0,0,0,0,0,1.236384
France,FRA,1832,6679472,6.679472,0,0,0,0,0,0.198806
Germany,DEU,1832,3447824,3.447824,0,0,0,0,0,0.120828
Spain,ESP,1832,3664,0.003664,0,0,0,0,0,0.000277
United Kingdom,GBR,1832,65589264,65.589264,0,0,0,0,0,2.657157
USA,USA,1832,3022800,3.022800,0,0,0,0,0,0.214720
Austria,AUT,1833,428688,0.428688,0,0,0,0,0,0.119412
Belgium,BEL,1833,4565344,4.565344,0,0,0,0,0,1.187037
France,FRA,1833,7247392,7.247392,0,0,0,0,0,0.214941
Germany,DEU,1833,4378480,4.378480,0,0,0,0,0,0.152025
Spain,ESP,1833,3664,0.003664,0,0,0,0,0,0.000275
United Kingdom,GBR,1833,65494000,65.494000,0,0,0,0,0,2.626378
USA,USA,1833,3528432,3.528432,0,0,0,0,0,0.243403
Austria,AUT,1834,586240,0.586240,0,0,0,0,0,0.162483
Belgium,BEL,1834,4407792,4.407792,0,0,0,0,0,1.136322
France,FRA,1834,8921840,8.921840,0,0,0,0,0,0.263500
Germany,DEU,1834,4411456,4.411456,0,0,0,0,0,0.151748
Spain,ESP,1834,3664,0.003664,0,0,0,0,0,0.000274
Sweden,SWE,1834,32976,0.032976,0,0,0,0,0,0.011099
United Kingdom,GBR,1834,65537968,65.537968,0,0,0,0,0,2.601332
USA,USA,1834,3381872,3.381872,0,0,0,0,0,0.226749
Austria,AUT,1835,633872,0.633872,0,0,0,0,0,0.174813
Belgium,BEL,1835,4759536,4.759536,0,0,0,0,0,1.216650
France,FRA,1835,9258928,9.258928,0,0,0,0,0,0.272321
Germany,DEU,1835,4931744,4.931744,0,0,0,0,0,0.167803
Norway,NOR,1835,14656,0.014656,0,0,0,0,0,0.012335
Spain,ESP,1835,3664,0.003664,0,0,0,0,0,0.000272
United Kingdom,GBR,1835,65263168,65.263168,0,0,0,0,0,2.564167
USA,USA,1835,4316192,4.316192,0,0,0,0,0,0.281478
Austria,AUT,1836,674176,0.674176,0,0,0,0,0,0.186546
