Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita,latitude,longitude
Afghanistan,AFG,2021,11874211,4.203536,7.419570,0.238847,0.012259,0,0,0.296119,33.93911,67.709953
Albania,ALB,2021,4619109,0.174413,3.246273,0.150245,1.048179,0,0,1.618066,41.153332,20.168331
Algeria,DZA,2021,176269070,1.095536,56.020598,92.791955,11.028039,15.332942,0,3.989977,28.033886,1.659626
Andorra,AND,2021,452888,0,0.452888,0,0,0,0,5.730292,42.546245,1.601554
Angola,AGO,2021,21362717,0,13.901716,2.951298,1.123730,3.385974,0,0.619141,-11.202692,17.873887
Anguilla,AIA,2021,144744,0,0.144744,0,0,0,0,9.188354,18.220554,-63.068615
Antarctica,ATA,2021,0,0,0,0,0,0,0,0,-75.250973,-0.071389
Antigua and Barbuda,ATG,2021,468695,0,0.468695,0,0,0,0,5.027895,17.060816,-61.796428
Argentina,ARG,2021,186448284,4.816141,80.309110,94.327529,4.670734,2.324770,0,4.117967,-38.416097,-63.616672
Armenia,ARM,2021,6806045,0.012484,0.991559,5.460901,0.341102,0,0,2.438591,40.069099,45.038189
Aruba,ABW,2021,858126,0,0.858126,0,0,0,0,8.054722,12.52111,-69.968338
Australia,AUS,2021,391187411,150.958384,139.155751,77.242144,2.820162,17.272753,3.738217,15.091473,-25.274398,133.775136
Austria,AUT,2021,64625588,12.269229,31.462607,17.839483,1.821123,0.109250,1.123897,7.243330,47.516231,14.550072
Azerbaijan,AZE,2021,38492804,0.003664,11.110517,26.029329,1.096472,0.252822,0,3.732457,40.143105,47.576927
Bahamas,BHS,2021,2386463,0.005078,2.381386,0,0,0,0,5.850522,25.03428,-77.39628
Bahrain,BHR,2021,39016088,0,3.550339,34.595877,0.614700,0.255172,0,26.663720,25.930414,50.637772
Bangladesh,BGD,2021,93175944,14.852834,18.057137,58.743290,1.473934,0.048748,0,0.550177,23.684994,90.356331
Barbados,BRB,2021,1125301,0,0.978746,0.057667,0.070568,0.018320,0,4.001781,13.193887,-59.543198
Belarus,BLR,2021,59602457,3.281815,16.986520,36.052508,2.302394,0.006232,0.972988,6.222741,53.709807,27.953389
Belgium,BEL,2021,95722285,11.015942,44.567181,35.777219,2.634278,0.101449,1.626217,8.243806,50.503887,4.469936
Belize,BLZ,2021,689321,0,0.684527,0,0,0.004794,0,1.723170,17.189877,-88.49765
Benin,BEN,2021,7755815,0.284350,6.960807,0.123021,0.387637,0,0,0.596744,9.30769,2.315834
Bermuda,BMU,2021,547960,0,0.547960,0,0,0,0,8.537196,32.321384,-64.75737
Bhutan,BTN,2021,1522086,0.448014,0.619953,0,0.454119,0,0,1.957702,27.514162,90.433601
Bolivia,BOL,2021,23321669,0.013237,13.303710,8.523604,1.419773,0.061344,0,1.930686,-16.290154,-63.588653
Bosnia and Herzegovina,BIH,2021,13566311,8.294507,4.418250,0.488297,0.365257,0,0,4.147523,43.915886,17.679076
Botswana,BWA,2021,6499919,3.653634,2.846285,0,0,0,0,2.511150,-22.328474,24.684866
Brazil,BRA,2021,488881070,68.229888,296.986854,75.974385,23.792942,17.505000,6.392000,2.281014,-14.235004,-51.92528
British Virgin Islands,VGB,2021,158529,0,0.158529,0,0,0,0,5.093802,18.420695,-64.639968
Brunei,BRN,2021,10480519,0.385681,3.878683,5.810752,0,0.405403,0,23.532003,4.535277,114.727669
Bulgaria,BGR,2021,42560210,20.853566,12.778482,6.061790,1.065905,0.684223,1.116245,6.180805,42.733883,25.48583
Burkina Faso,BFA,2021,5698262,0,4.845777,0,0.852485,0,0,0.257832,12.238333,-1.561593
Burundi,BDI,2021,692908,0.049964,0.613882,0,0.029062,0,0,0.055206,-3.373056,29.918886
Cambodia,KHM,2021,19028598,4.698298,8.981376,0,5.325217,0.023707,0,1.147060,12.565679,104.990963
Cameroon,CMR,2021,9297284,0,5.055503,1.611417,1.162479,1.467885,0,0.341829,7.369722,12.354722
Canada,CAN,2021,545634517,43.862080,241.659653,235.381822,6.624708,16.056983,2.049271,14.300468,56.130366,-106.346771
Cape Verde,CPV,2021,667694,0,0.667694,0,0,0,0,1.135678,16.002082,-24.013197
Central African Republic,CAF,2021,227296,0,0.227296,0,0,0,0,0.041651,6.611111,20.939444
Chad,TCD,2021,1939918,0,1.440763,0,0.162747,0.336407,0,0.112919,15.454166,18.732207
Chile,CHL,2021,85446923,26.184921,46.819350,11.605704,0.825329,0.011618,0,4.383426,-35.675147,-71.542969
China,CHN,2021,11472369171,7955.985419,1713.339980,773.866062,852.961348,4.677478,171.538883,8.045741,35.86166,104.195397
Christmas Island,CXR,2021,0,0,0,0,0,0,0,0,-10.447525,105.690449
Colombia,COL,2021,91703380,12.015417,49.944936,23.256673,5.870597,0.615756,0,1.780076,4.570868,-74.297333
Comoros,COM,2021,298171,0,0.298171,0,0,0,0,0.362904,-11.875001,43.872219
Dem. Rep. Congo,COD,2021,2606688,0,2.155646,0,0.451042,0,0,0.027183,-4.038333,21.758664
Congo [Republic],COG,2021,7464369,0,2.027334,2.292486,0.282870,2.861680,0,1.279064,-0.228021,15.827659
Cook Islands,COK,2021,91403,0,0.091403,0,0,0,0,5.375721,-21.236736,-159.777671
Costa Rica,CRI,2021,7819507,0,7.082909,0,0.736598,0,0,1.517185,9.748917,-83.753428
Côte d'Ivoire,CIV,2021,11706642,0,6.748904,4.929332,0,0.028407,0,0.426033,7.539989,-5.54708
Croatia,HRV,2021,17701451,1.685619,9.050490,5.310927,1.212949,0.288184,0.153282,4.359818,45.1,15.2
Cuba,CUB,2021,22057330,0.005078,19.137243,2.209094,0.633291,0.072624,0,1.959542,21.521757,-77.781167
Cyprus,CYP,2021,7600422,0.201473,6.496579,0.000220,0.882317,0,0.019833,6.108741,35.126413,33.429859
Czech Republic,CZE,2021,97138329,51.777952,23.232264,18.681187,1.891029,0.052561,1.503336,9.241807,49.817492,15.472962
Denmark,DNK,2021,29576956,4.376753,18.665928,4.778313,1.226954,0.126262,0.402746,5.052228,56.26392,9.501785
Djibouti,DJI,2021,379178,0,0.301679,0,0.077499,0,0,0.342974,11.825138,42.590275
Dominica,DMA,2021,158529,0,0.158529,0,0,0,0,2.189268,15.414999,-61.370976
Dominican Republic,DOM,2021,28922094,4.524063,19.237185,2.989818,2.171027,0,0,2.601405,18.735693,-70.162651
Ecuador,ECU,2021,41321734,0,35.500845,1.026362,2.472370,2.322157,0,2.321741,-1.831239,-78.183406
Egypt,EGY,2021,249624151,6.228362,97.011732,126.313455,16.155578,3.915025,0,2.284635,26.820553,30.802498
El Salvador,SLV,2021,7204384,0.004499,6.742418,0,0.457466,0,0,1.140987,13.794185,-88.89653
Equatorial Guinea,GNQ,2021,5224788,0,1.118150,3.627915,0,0.478723,0,3.196633,1.650801,10.267895
Eritrea,ERI,2021,820601,0,0.712103,0,0.108498,0,0,0.226666,15.179384,39.782334
Estonia,EST,2021,10449021,6.221633,3.226733,0.914581,0.020121,0.000028,0.065924,7.864087,58.595272,25.013607
Ethiopia,ETH,2021,17792552,1.264484,12.614389,0,3.913680,0,0,0.147922,9.145,40.489673
Faroe Islands,FRO,2021,698346,0,0.698346,0,0,0,0,13.203997,61.892635,-6.911806
Fiji,FJI,2021,1470402,0,1.470402,0,0,0,0,1.590295,-16.578193,179.414413
Finland,FIN,2021,37602328,12.291231,19.825690,4.266560,0.569667,0.075760,0.573420,6.792338,61.92411,25.748151
France,FRA,2021,305963710,28.877789,179.745984,85.580480,5.994268,2.148580,3.616609,4.741312,46.227638,2.213749
French Guiana,GUF,2021,651382,0,0.651382,0,0,0,0,2.189895,3.933889,-53.125782
French Polynesia,PYF,2021,949800,0,0.949800,0,0,0,0,3.124014,-17.679742,-149.406843
Gabon,GAB,2021,5712477,0,1.869693,1.117309,0.209246,2.516230,0,2.440000,-0.803689,11.609444
Gambia,GMB,2021,655699,0,0.655699,0,0,0,0,0.248379,13.443182,-15.310139
Georgia,GEO,2021,11009796,0.527202,3.384559,6.039020,1.056685,0.002331,0,2.929711,42.315407,43.356892
Germany,DEU,2021,674753566,230.221049,248.200624,173.484052,13.233969,1.807425,7.806447,8.089741,51.165691,10.451526
Ghana,GHA,2021,21312801,0,13.113984,4.751163,2.321083,1.126571,0,0.649127,7.946527,-1.023194
Greece,GRC,2021,56309279,9.775375,31.013853,12.152421,2.977784,0.005171,0.384674,5.390839,39.074208,21.824312
Greenland,GRL,2021,510659,0,0.510659,0,0,0,0,9.079509,71.706936,-42.604303
Grenada,GRD,2021,319210,0,0.319210,0,0,0,0,2.561670,12.262776,-61.604171
Guadeloupe,GLP,2021,2291068,0.419280,1.871788,0,0,0,0,5.784780,16.995971,-62.067641
Guatemala,GTM,2021,20327104,5.538529,13.314592,0,1.380153,0.093831,0,1.154393,15.783471,-90.230759
Guinea,GIN,2021,4841779,0,4.841779,0,0,0,0,0.357805,9.945587,-9.696645
Guinea-Bissau,GNB,2021,351839,0,0.351839,0,0,0,0,0.170736,11.803749,-15.180413
Guyana,GUY,2021,3087826,0,2.679087,0,0.161670,0.247070,0,3.837874,4.860416,-58.93018
Haiti,HTI,2021,2875923,0,2.798387,0,0.077537,0,0,0.251226,18.971187,-72.285215
Honduras,HND,2021,10897812,0,10.115401,0,0.782411,0,0,1.060269,15.199999,-86.241905
Hong Kong,HKG,2021,31664379,13.833671,7.483871,9.736257,0.610580,0,0,4.224972,22.396428,114.109497
Hungary,HUN,2021,48454619,6.391263,18.375345,22.112327,0.928787,0.162081,0.484817,4.990287,47.162494,19.503304
Iceland,ISL,2021,3374964,0.667573,2.526131,0.000200,0,0.174873,0.006187,9.113272,64.963051,-19.020835
India,IND,2021,2709683625,1802.311897,622.148121,133.450811,149.001244,2.771552,0,1.925088,20.593684,78.96288
Indonesia,IDN,2021,619277533,303.153575,210.249416,74.087852,28.637353,3.149338,0,2.262175,-0.789275,113.921327
Iran,IRN,2021,748878752,3.729952,222.961835,466.993766,22.524908,32.668290,0,8.517397,32.427908,53.688046
Iraq,IRQ,2021,185580695,0,116.833193,30.043944,5.238919,33.464639,0,4.262931,33.223191,43.679291
Ireland,IRL,2021,37540329,6.292886,18.438844,10.501618,1.769640,0.000334,0.537006,7.528353,53.41291,-8.24389
Israel,ISR,2021,54528532,14.043493,19.610503,19.448837,1.424515,0.001184,0,6.126761,31.046051,34.851612
Italy,ITA,2021,328687320,23.999725,141.807282,150.955938,7.059192,2.112523,2.752660,5.548371,41.87194,12.56738
Jamaica,JAM,2021,7689743,0.370658,6.344618,0.572235,0.402231,0,0,2.719439,18.109581,-77.297508
Japan,JPN,2021,1067398435,418.820499,395.359389,221.525076,23.788868,0.344529,7.560075,8.565739,36.204824,138.252924
Jordan,JOR,2021,25593717,0.542521,15.079398,8.207051,1.763770,0.000978,0,2.295755,30.585164,36.238414
Kazakhstan,KAZ,2021,276683460,180.818472,42.767601,27.980220,4.448138,16.843902,3.825127,14.413251,48.019573,66.923684
Kenya,KEN,2021,19875403,1.702633,14.589333,0,3.583437,0,0,0.374968,-0.023559,37.906193
Kiribati,KIR,2021,71533,0,0.071533,0,0,0,0,0.555062,-3.370417,-168.734039
Kosovo,KSV,2021,5644358,3.216723,2.108867,0,0.318768,0,0,3.396106,42.602636,20.902977
Kuwait,KWT,2021,106134264,0,53.736481,49.817295,1.222415,1.358074,0,24.972098,29.31166,47.481766
Kyrgyzstan,KGZ,2021,9308101,3.599533,4.234129,0.691823,0.782616,0,0,1.425929,41.20438,74.766098
Laos,LAO,2021,20777500,15.103899,3.624343,0,2.049258,0,0,2.798295,19.85627,102.495496
Latvia,LVA,2021,7266214,0.137075,4.235802,2.270890,0.550832,0.000011,0.071604,3.877550,56.879635,24.603189
Lebanon,LBN,2021,24958901,0.433510,22.391777,0,2.133613,0,0,4.462819,33.854721,35.862285
Lesotho,LSO,2021,2282165,1.582200,0.699965,0,0,0,0,1.000312,-29.609988,28.233608
Liberia,LBR,2021,1195260,0,1.063512,0,0.131748,0,0,0.230149,6.428055,-9.429499
Libya,LBY,2021,74525079,0,44.329600,17.290753,1.627471,11.277255,0,11.064887,26.3351,17.228331
Liechtenstein,LIE,2021,150950,0,0.095377,0.055573,0,0.000000,0,3.866656,47.166,9.555373
Lithuania,LTU,2021,13880837,0.731517,8.376843,4.004370,0.556685,0.181610,0.029810,4.981189,55.169438,23.881275
